ORIGEN,curr,prev,variation,AÑO
13,0.014816883730392715,0.021837716907665287,-0.007020833177272572,2018
14,0.01718924025971787,0.015421774305592665,0.0017674659541252052,2018
15,0.026926936246366467,0.03101098298225552,-0.004084046735889052,2018
16,0.02177878465002569,0.021527785199514083,0.00025099945051160547,2018
17,0.040974873020306404,0.04787198039236642,-0.006897107372060014,2018
18,0.021737406338467692,0.021349663528162817,0.00038774281030487523,2018
19,0.03126476257469647,0.03145272472720666,-0.0001879621525101849,2018
20,0.01905471247245756,0.017459486225851154,0.001595226246606407,2018
21,0.0101549272948584,0.009297951244536118,0.0008569760503222817,2018
22,0.011637650125686622,0.010580427278265237,0.0010572228474213848,2018
23,0.01673063063995007,0.018741962259580275,-0.0020113316196302064,2018
24,0.008603240611433517,0.011460348334740494,-0.002857107723306978,2018
